	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
EC number_count_0.0_1e-30	10933	200	1524	155405	375	33	134	10488	11133	12657	0.8795923204550842	9792.501303626452
EC number_count_0.0_1e-20	14500	285	2608	150669	506	43	226	10471	14785	17393	0.8500546196745817	12568.05755188869
EC number_count_0.0_1e-15	16116	327	3251	148368	560	47	266	10466	16443	19694	0.8349243424393217	13728.660962729766
EC number_count_0.0_1e-10	17587	366	3806	146303	626	50	311	10455	17953	21759	0.8250838733397674	14812.730778068844
EC number_count_0.0_1e-05	18297	405	4205	145155	654	54	360	10441	18702	22907	0.8164316584450169	15268.904876238705
EC number_count_0.0_0.01	18392	408	4399	144863	662	55	378	10439	18800	23199	0.8103797577481788	15235.139445665762
EC number_count_0.0_1	18422	408	4431	144801	663	55	389	10438	18830	23261	0.8095094793860969	15243.063496840205
Protein families_count_0.0_1e-30	19437	260	1747	146618	693	34	167	10466	19697	21444	0.9185319903003171	18092.324612945344
Protein families_count_0.0_1e-20	29791	329	2652	135290	1049	52	261	10436	30120	32772	0.9190772610765288	27682.607103625047
Protein families_count_0.0_1e-15	36456	351	3233	128022	1273	60	323	10415	36807	40040	0.9192557442557443	33835.04617882118
Protein families_count_0.0_1e-10	43967	409	4013	119673	1516	69	423	10383	44376	48389	0.9170679286614727	40695.80640228151
Protein families_count_0.0_1e-05	49430	417	4755	113460	1698	71	542	10340	49847	54602	0.912915277828651	45506.087853924764
Protein families_count_0.0_0.01	51383	421	5465	110793	1765	72	700	10325	51804	57269	0.9045731547608654	46860.507709231875
Protein families_count_0.0_1	51764	421	5880	109997	1776	72	856	10295	52185	58065	0.8987341772151899	46900.443037974685
OrthoDB_count_0.0_1e-30	13339	0	4388	150335	760	0	528	10485	13339	17727	0.7524679866869747	10037.170474417555
OrthoDB_count_0.0_1e-20	20891	0	8966	138205	1203	0	1102	10449	20891	29857	0.6997019124493419	14617.4726529792
OrthoDB_count_0.0_1e-15	25412	0	13325	129325	1470	0	1626	10416	25412	38737	0.656013630379224	16670.618375196842
OrthoDB_count_0.0_1e-10	29774	0	20693	117595	1689	0	2560	10346	29774	50467	0.5899696831592922	17565.757346384766
OrthoDB_count_0.0_1e-05	31849	0	32125	104088	1812	0	4148	10164	31849	63974	0.4978428736674274	15855.797683433895
OrthoDB_count_0.0_0.01	32321	0	40994	94747	1843	0	5619	9897	32321	73315	0.4408511218713769	14248.749110004774
OrthoDB_count_0.0_1	32373	0	45407	90282	1847	0	6480	9671	32373	77780	0.416212393931602	13474.04382874775
PANTHER_count_0.0_1e-30	23960	7470	1899	134733	1061	715	238	10421	31430	33329	0.9430225929370818	29639.200096012482
PANTHER_count_0.0_1e-20	37703	12158	5120	113081	1745	1228	642	10304	49861	54981	0.9068769211182045	45217.79016387479
PANTHER_count_0.0_1e-15	46404	15712	8079	97867	2183	1612	989	10188	62116	70195	0.8849063323598547	54966.84174086474
PANTHER_count_0.0_1e-10	55798	20146	13262	78856	2662	2058	1656	9988	75944	89206	0.8513328699863237	64653.62347824137
PANTHER_count_0.0_1e-05	63037	22795	20244	61986	3022	2377	2568	9676	85832	106076	0.8091556996870168	69451.45201553602
PANTHER_count_0.0_0.01	64769	23349	24951	54993	3114	2463	3210	9459	88118	113069	0.7793294360081012	68672.95124216187
PANTHER_count_0.0_1	65042	23401	26821	52798	3123	2469	3585	9314	88443	115264	0.7673080927262632	67863.0296449889
InterPro_count_0.0_1e-30	15949	17348	38	134727	870	1050	8	10421	33297	33335	0.9988600569971502	33259.04331783411
InterPro_count_0.0_1e-20	26425	28502	112	113023	1560	1833	24	10304	54927	55039	0.9979650793074002	54815.227911117574
InterPro_count_0.0_1e-15	33238	36838	322	97664	1990	2375	68	10189	70076	70398	0.9954260064206369	69755.47282593255
InterPro_count_0.0_1e-10	41892	47239	964	77967	2581	3136	244	9974	89131	90095	0.9893001831400189	88177.31462345303
InterPro_count_0.0_1e-05	48836	57387	3425	58414	3102	3965	865	9602	106223	109648	0.9687636801400846	102904.98439552021
InterPro_count_0.0_0.01	51165	61210	7527	48160	3310	4292	1897	9232	112375	119902	0.9372237327150507	105320.51696385382
InterPro_count_0.0_1	51642	62014	10445	43961	3352	4386	2691	8864	113656	124101	0.9158346830404267	104090.10673564274
Pfam_count_0.0_1e-30	24028	8195	257	135582	1067	605	29	10425	32223	32480	0.9920874384236453	31968.033528325122
Pfam_count_0.0_1e-20	39570	12112	860	115520	1842	1030	121	10320	51682	52542	0.9836321419055232	50836.07635796125
Pfam_count_0.0_1e-15	49729	15015	1642	101676	2339	1305	240	10222	64744	66386	0.9752658693097942	63142.61344259331
Pfam_count_0.0_1e-10	62285	18258	2986	84533	2960	1638	514	10063	80543	83529	0.9642519364532078	77663.74371775072
Pfam_count_0.0_1e-05	72028	20289	6277	69468	3467	1912	1196	9822	92317	98594	0.9363348682475607	86439.62603201007
Pfam_count_0.0_0.01	74984	20789	9938	62351	3648	1990	1970	9618	95773	105711	0.9059889699274437	86769.28161686107
Pfam_count_0.0_1	75550	20831	12199	59482	3692	1996	2539	9397	96381	108580	0.8876496592374287	85552.5618069626
eggNOG_count_0.0_1e-30	10317	184	1809	155752	644	39	266	10493	10501	12310	0.8530463038180341	8957.839236393176
eggNOG_count_0.0_1e-20	16476	275	3703	147608	1088	67	567	10465	16751	20454	0.8189596167008898	13718.392539356604
eggNOG_count_0.0_1e-15	20396	394	5538	141734	1340	82	872	10444	20790	26328	0.7896536007292616	16416.89835916135
eggNOG_count_0.0_1e-10	24259	438	8844	134521	1575	96	1405	10394	24697	33541	0.7363227095196924	18184.961957007843
eggNOG_count_0.0_1e-05	26267	471	14633	126691	1694	107	2252	10309	26738	41371	0.6462981315414179	17280.719441154433
eggNOG_count_0.0_0.01	26501	471	19144	121946	1709	107	3016	10190	26972	46116	0.5848729291352243	15775.192644635268
eggNOG_count_0.0_1	26506	471	21355	119730	1711	107	3434	10092	26977	48332	0.5581602251096582	15057.48839278325
