	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
EC number_count_0.0_1e-30	303	8	47	167704	303	8	47	10508	311	358	0.8687150837988827	270.1703910614525
EC number_count_0.0_1e-20	394	10	74	167584	394	10	74	10508	404	478	0.8451882845188284	341.45606694560666
EC number_count_0.0_1e-15	435	10	82	167535	435	10	82	10508	445	527	0.8444022770398482	375.75901328273244
EC number_count_0.0_1e-10	485	10	95	167472	485	10	95	10508	495	590	0.8389830508474576	415.29661016949154
EC number_count_0.0_1e-05	508	10	101	167443	508	10	101	10506	518	619	0.8368336025848142	433.4798061389338
EC number_count_0.0_0.01	509	10	102	167441	509	10	102	10506	519	621	0.8357487922705314	433.7536231884058
EC number_count_0.0_1	509	10	103	167440	509	10	103	10506	519	622	0.8344051446945338	433.05627009646304
Protein families_count_0.0_1e-30	597	5	60	167400	597	5	60	10506	602	662	0.9093655589123867	547.4380664652568
Protein families_count_0.0_1e-20	908	5	84	167065	908	5	84	10505	913	997	0.9157472417251755	836.0772316950853
Protein families_count_0.0_1e-15	1111	5	93	166853	1111	5	93	10505	1116	1209	0.9230769230769231	1030.1538461538462
Protein families_count_0.0_1e-10	1328	6	113	166615	1328	6	113	10505	1334	1447	0.921907394609537	1229.8244644091224
Protein families_count_0.0_1e-05	1489	6	125	166442	1489	6	125	10502	1495	1620	0.9228395061728395	1379.6450617283951
Protein families_count_0.0_0.01	1545	6	135	166376	1545	6	135	10502	1551	1686	0.9199288256227758	1426.8096085409252
Protein families_count_0.0_1	1554	6	156	166346	1554	6	156	10499	1560	1716	0.9090909090909091	1418.1818181818182
OrthoDB_count_0.0_1e-30	478	0	203	167381	478	0	203	10506	478	681	0.7019089574155654	335.5124816446402
OrthoDB_count_0.0_1e-20	766	0	504	166792	766	0	504	10503	766	1270	0.6031496062992125	462.0125984251968
OrthoDB_count_0.0_1e-15	928	0	759	166375	928	0	759	10499	928	1687	0.5500889152341435	510.4825133372852
OrthoDB_count_0.0_1e-10	1056	0	1279	165727	1056	0	1279	10486	1056	2335	0.45224839400428263	477.57430406852245
OrthoDB_count_0.0_1e-05	1123	0	2229	164710	1123	0	2229	10438	1123	3352	0.33502386634844866	376.2318019093079
OrthoDB_count_0.0_0.01	1138	0	3093	163831	1138	0	3093	10349	1138	4231	0.2689671472465138	306.0846135665327
OrthoDB_count_0.0_1	1139	0	3500	163423	1139	0	3500	10267	1139	4639	0.24552705324423368	279.65531364518216
PANTHER_count_0.0_1e-30	832	310	83	166837	832	310	83	10504	1142	1225	0.9322448979591836	1064.6236734693878
PANTHER_count_0.0_1e-20	1357	556	255	165894	1357	556	255	10495	1913	2168	0.882380073800738	1687.993081180812
PANTHER_count_0.0_1e-15	1672	732	389	165269	1672	732	389	10488	2404	2793	0.8607232366630863	2069.1786609380592
PANTHER_count_0.0_1e-10	2000	944	684	164434	2000	944	684	10473	2944	3628	0.8114663726571113	2388.9570011025357
PANTHER_count_0.0_1e-05	2239	1085	1053	163685	2239	1085	1053	10448	3324	4377	0.7594242631939685	2524.3262508567514
PANTHER_count_0.0_0.01	2292	1108	1243	163419	2292	1108	1243	10412	3400	4643	0.7322851604566013	2489.7695455524445
PANTHER_count_0.0_1	2297	1111	1330	163324	2297	1111	1330	10390	3408	4738	0.7192908400168848	2451.3431827775435
