Ortholog_Group	geneID	pLDDT_mean	file_name
OG6_158083	CFAC1_290005300	96.0	CFAC1_290005300_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6_111588	PCON_0074120	96.0	PCON_0074120_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_197055	TcBrA4_0053020	96.0	TcBrA4_0053020_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_102918	BSAL_80270	95.0	BSAL_80270_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_553617	PCON_0082140	95.0	PCON_0082140_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_194268	TcIL3000.A.H_000282800	95.0	TcIL3000.A.H_000282800_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_103871	GH5_08393	94.0	GH5_08393_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6_171982	PCON_0083400	94.0	PCON_0083400_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_552289	TcCL_ESM08673	94.0	TcCL_ESM08673_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_137595	TcIL3000.A.H_000180200	94.0	TcIL3000.A.H_000180200_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_198007	TcSYL_0128300	94.0	TcSYL_0128300_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_148624	Tc_MARK_5347	94.0	Tc_MARK_5347_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_116797	Tc_MARK_8931	94.0	Tc_MARK_8931_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6_553268	PCON_0085610	93.0	PCON_0085610_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6_389202	Tb927.5.1145	93.0	Tb927.5.1145_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197115	TcBrA4_0121010	93.0	TcBrA4_0121010_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_553110	TcCL_NonESM13744	93.0	TcCL_NonESM13744_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_198521	TcIL3000.A.H_000253800	93.0	TcIL3000.A.H_000253800_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_179296	LARLEM1108_310006700	92.0	LARLEM1108_310006700_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_180547	LtaP26.2010	92.0	LtaP26.2010_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6_215272	PCON_0064350	92.0	PCON_0064350_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6_115611	BSAL_86485	91.0	BSAL_86485_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6_215230	PCON_0035680	91.0	PCON_0035680_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_111150	TcCL_Unassigned04434	91.0	TcCL_Unassigned04434_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6_170986	TcSYL_0147350	91.0	TcSYL_0147350_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_121741	TcSYL_0153540	91.0	TcSYL_0153540_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6_389445	Tb427_110063700	90.0	Tb427_110063700_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_127699	TcCL_ESM00178	90.0	TcCL_ESM00178_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_133552	TcCL_NonESM13791	90.0	TcCL_NonESM13791_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb
OG6_554106	TcCL_Unassigned05843	90.0	TcCL_Unassigned05843_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6_199774	CFAC1_080018600	89.0	CFAC1_080018600_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_200019	DQ04_00851180	89.0	DQ04_00851180_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_115719	LGELEM452_160015500	89.0	LGELEM452_160015500_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_444563	TcBrA4_0075580	89.0	TcBrA4_0075580_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6_137186	TcCL_Unassigned06575	89.0	TcCL_Unassigned06575_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_197118	TcSYL_0045410	89.0	TcSYL_0045410_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6_421707	JKF63_05185	88.0	JKF63_05185_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_198442	TcIL3000.A.H_000119400	88.0	TcIL3000.A.H_000119400_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_199592	TevSTIB805.9.2380	88.0	TevSTIB805.9.2380_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb
OG6_109954	DQ04_00091150	87.0	DQ04_00091150_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_565499	TcIL3000.A.H_000098400	87.0	TcIL3000.A.H_000098400_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_148040	TcYC6_0086840	87.0	TcYC6_0086840_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6_215297	PCON_0079370	86.0	PCON_0079370_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_388925	Tb1125.Tb11.v5.0486	86.0	Tb1125.Tb11.v5.0486_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6_553780	TcCL_Unassigned06884	86.0	TcCL_Unassigned06884_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197966	TcSYL_0028300	86.0	TcSYL_0028300_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6_123204	TcYC6_0092600	86.0	TcYC6_0092600_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_143054	CFAC1_150027700	85.0	CFAC1_150027700_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_116852	DQ04_27881000	85.0	DQ04_27881000_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_179274	LARLEM1108_140017900	85.0	LARLEM1108_140017900_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_105427	LSCM1_00748	85.0	LSCM1_00748_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_197422	LSM04_002532	85.0	LSM04_002532_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6_112937	PCON_0024680	85.0	PCON_0024680_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_215234	PCON_0039430	85.0	PCON_0039430_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_160716	PCON_0085680	85.0	PCON_0085680_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
