	annotation_category	fident	COV_query	COV_target	TruePositive	FalsePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
0	EC number	0.0	0.0	0.0	19072	3659	22731	0.8390303990145616	16001.987770005719
1	EC number	0.0	0.0	0.1	19072	3659	22731	0.8390303990145616	16001.987770005719
2	EC number	0.0	0.0	0.2	19002	3587	22589	0.8412058966753729	15984.594448625436
3	EC number	0.0	0.0	0.3	18617	3512	22129	0.8412942292918795	15662.37466672692
4	EC number	0.0	0.0	0.4	18058	3440	21498	0.8399851148944087	15168.451204763232
5	EC number	0.0	0.0	0.5	17507	3261	20768	0.8429795839753467	14758.043576656393
6	EC number	0.0	0.0	0.6	16561	3065	19626	0.8438296137776419	13974.662233771527
7	EC number	0.0	0.0	0.7	15533	2845	18378	0.8451953422570465	13128.419251278703
8	EC number	0.0	0.0	0.8	14109	2428	16537	0.8531777226824696	12037.484489326964
9	EC number	0.0	0.0	0.9	11242	1814	13056	0.8610600490196079	9680.037071078432
10	EC number	0.0	0.1	0.1	11241	1814	13055	0.8610494063577173	9679.0563768671
11	EC number	0.0	0.1	0.2	11241	1814	13055	0.8610494063577173	9679.0563768671
12	EC number	0.0	0.1	0.3	11241	1814	13055	0.8610494063577173	9679.0563768671
13	EC number	0.0	0.1	0.4	11241	1814	13055	0.8610494063577173	9679.0563768671
14	EC number	0.0	0.1	0.5	11241	1814	13055	0.8610494063577173	9679.0563768671
15	EC number	0.0	0.1	0.6	11241	1814	13055	0.8610494063577173	9679.0563768671
16	EC number	0.0	0.1	0.7	11241	1814	13055	0.8610494063577173	9679.0563768671
17	EC number	0.0	0.1	0.8	11241	1814	13055	0.8610494063577173	9679.0563768671
18	EC number	0.0	0.1	0.9	11241	1814	13055	0.8610494063577173	9679.0563768671
19	EC number	0.0	0.2	0.2	11238	1814	13052	0.8610174685871897	9676.114311982838
20	EC number	0.0	0.2	0.3	11238	1814	13052	0.8610174685871897	9676.114311982838
21	EC number	0.0	0.2	0.4	11238	1814	13052	0.8610174685871897	9676.114311982838
22	EC number	0.0	0.2	0.5	11238	1814	13052	0.8610174685871897	9676.114311982838
23	EC number	0.0	0.2	0.6	11238	1814	13052	0.8610174685871897	9676.114311982838
24	EC number	0.0	0.2	0.7	11238	1814	13052	0.8610174685871897	9676.114311982838
25	EC number	0.0	0.2	0.8	11238	1814	13052	0.8610174685871897	9676.114311982838
26	EC number	0.0	0.2	0.9	11238	1814	13052	0.8610174685871897	9676.114311982838
27	EC number	0.0	0.3	0.3	11214	1810	13024	0.8610257985257985	9655.543304668305
28	EC number	0.0	0.3	0.4	11214	1810	13024	0.8610257985257985	9655.543304668305
29	EC number	0.0	0.3	0.5	11214	1810	13024	0.8610257985257985	9655.543304668305
30	EC number	0.0	0.3	0.6	11214	1810	13024	0.8610257985257985	9655.543304668305
31	EC number	0.0	0.3	0.7	11214	1810	13024	0.8610257985257985	9655.543304668305
32	EC number	0.0	0.3	0.8	11214	1810	13024	0.8610257985257985	9655.543304668305
33	EC number	0.0	0.3	0.9	11214	1810	13024	0.8610257985257985	9655.543304668305
34	EC number	0.0	0.4	0.4	11145	1801	12946	0.8608836706318554	9594.548509192029
35	EC number	0.0	0.4	0.5	11145	1801	12946	0.8608836706318554	9594.548509192029
36	EC number	0.0	0.4	0.6	11145	1801	12946	0.8608836706318554	9594.548509192029
37	EC number	0.0	0.4	0.7	11145	1801	12946	0.8608836706318554	9594.548509192029
38	EC number	0.0	0.4	0.8	11145	1801	12946	0.8608836706318554	9594.548509192029
39	EC number	0.0	0.4	0.9	11145	1801	12946	0.8608836706318554	9594.548509192029
40	EC number	0.0	0.5	0.5	11053	1748	12801	0.8634481681118663	9543.692602140458
41	EC number	0.0	0.5	0.6	11053	1748	12801	0.8634481681118663	9543.692602140458
42	EC number	0.0	0.5	0.7	11053	1748	12801	0.8634481681118663	9543.692602140458
43	EC number	0.0	0.5	0.8	11053	1748	12801	0.8634481681118663	9543.692602140458
44	EC number	0.0	0.5	0.9	11053	1748	12801	0.8634481681118663	9543.692602140458
45	EC number	0.0	0.6	0.6	10901	1711	12612	0.8643355534411672	9422.121868062164
46	EC number	0.0	0.6	0.7	10901	1711	12612	0.8643355534411672	9422.121868062164
47	EC number	0.0	0.6	0.8	10901	1711	12612	0.8643355534411672	9422.121868062164
48	EC number	0.0	0.6	0.9	10901	1711	12612	0.8643355534411672	9422.121868062164
49	EC number	0.0	0.7	0.7	10690	1629	12319	0.8677652406851205	9276.410422923938
50	EC number	0.0	0.7	0.8	10690	1629	12319	0.8677652406851205	9276.410422923938
51	EC number	0.0	0.7	0.9	10690	1629	12319	0.8677652406851205	9276.410422923938
52	EC number	0.0	0.8	0.8	10328	1565	11893	0.8684099890692004	8968.938367106703
53	EC number	0.0	0.8	0.9	10328	1565	11893	0.8684099890692004	8968.938367106703
54	EC number	0.0	0.9	0.9	9333	1331	10664	0.8751875468867217	8168.125375093774
55	Protein families	0.0	0.0	0.0	28458	1422	29880	0.9524096385542169	27103.673493975904
56	Protein families	0.0	0.0	0.1	28458	1422	29880	0.9524096385542169	27103.673493975904
57	Protein families	0.0	0.0	0.2	28458	1422	29880	0.9524096385542169	27103.673493975904
58	Protein families	0.0	0.0	0.3	28458	1422	29880	0.9524096385542169	27103.673493975904
59	Protein families	0.0	0.0	0.4	28458	1422	29880	0.9524096385542169	27103.673493975904
60	Protein families	0.0	0.0	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
61	Protein families	0.0	0.0	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
62	Protein families	0.0	0.0	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
63	Protein families	0.0	0.0	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
64	Protein families	0.0	0.0	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
65	Protein families	0.0	0.1	0.1	28458	1422	29880	0.9524096385542169	27103.673493975904
66	Protein families	0.0	0.1	0.2	28458	1422	29880	0.9524096385542169	27103.673493975904
67	Protein families	0.0	0.1	0.3	28458	1422	29880	0.9524096385542169	27103.673493975904
68	Protein families	0.0	0.1	0.4	28458	1422	29880	0.9524096385542169	27103.673493975904
69	Protein families	0.0	0.1	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
70	Protein families	0.0	0.1	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
71	Protein families	0.0	0.1	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
72	Protein families	0.0	0.1	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
73	Protein families	0.0	0.1	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
74	Protein families	0.0	0.2	0.2	28458	1422	29880	0.9524096385542169	27103.673493975904
75	Protein families	0.0	0.2	0.3	28458	1422	29880	0.9524096385542169	27103.673493975904
76	Protein families	0.0	0.2	0.4	28458	1422	29880	0.9524096385542169	27103.673493975904
77	Protein families	0.0	0.2	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
78	Protein families	0.0	0.2	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
79	Protein families	0.0	0.2	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
80	Protein families	0.0	0.2	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
81	Protein families	0.0	0.2	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
82	Protein families	0.0	0.3	0.3	28458	1422	29880	0.9524096385542169	27103.673493975904
83	Protein families	0.0	0.3	0.4	28458	1422	29880	0.9524096385542169	27103.673493975904
84	Protein families	0.0	0.3	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
85	Protein families	0.0	0.3	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
86	Protein families	0.0	0.3	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
87	Protein families	0.0	0.3	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
88	Protein families	0.0	0.3	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
89	Protein families	0.0	0.4	0.4	28458	1422	29880	0.9524096385542169	27103.673493975904
90	Protein families	0.0	0.4	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
91	Protein families	0.0	0.4	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
92	Protein families	0.0	0.4	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
93	Protein families	0.0	0.4	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
94	Protein families	0.0	0.4	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
95	Protein families	0.0	0.5	0.5	28458	1422	29880	0.9524096385542169	27103.673493975904
96	Protein families	0.0	0.5	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
97	Protein families	0.0	0.5	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
98	Protein families	0.0	0.5	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
99	Protein families	0.0	0.5	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
100	Protein families	0.0	0.6	0.6	28458	1422	29880	0.9524096385542169	27103.673493975904
101	Protein families	0.0	0.6	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
102	Protein families	0.0	0.6	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
103	Protein families	0.0	0.6	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
104	Protein families	0.0	0.7	0.7	28458	1422	29880	0.9524096385542169	27103.673493975904
105	Protein families	0.0	0.7	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
106	Protein families	0.0	0.7	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
107	Protein families	0.0	0.8	0.8	28458	1422	29880	0.9524096385542169	27103.673493975904
108	Protein families	0.0	0.8	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
109	Protein families	0.0	0.9	0.9	28458	1422	29880	0.9524096385542169	27103.673493975904
110	KEGG	0.0	0.0	0.0	21698	10348	32046	0.6770891842975723	14691.481120888722
111	KEGG	0.0	0.0	0.1	21698	10348	32046	0.6770891842975723	14691.481120888722
112	KEGG	0.0	0.0	0.2	21698	10348	32046	0.6770891842975723	14691.481120888722
113	KEGG	0.0	0.0	0.3	21698	10348	32046	0.6770891842975723	14691.481120888722
114	KEGG	0.0	0.0	0.4	21698	10348	32046	0.6770891842975723	14691.481120888722
115	KEGG	0.0	0.0	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
116	KEGG	0.0	0.0	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
117	KEGG	0.0	0.0	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
118	KEGG	0.0	0.0	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
119	KEGG	0.0	0.0	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
120	KEGG	0.0	0.1	0.1	21698	10348	32046	0.6770891842975723	14691.481120888722
121	KEGG	0.0	0.1	0.2	21698	10348	32046	0.6770891842975723	14691.481120888722
122	KEGG	0.0	0.1	0.3	21698	10348	32046	0.6770891842975723	14691.481120888722
123	KEGG	0.0	0.1	0.4	21698	10348	32046	0.6770891842975723	14691.481120888722
124	KEGG	0.0	0.1	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
125	KEGG	0.0	0.1	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
126	KEGG	0.0	0.1	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
127	KEGG	0.0	0.1	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
128	KEGG	0.0	0.1	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
129	KEGG	0.0	0.2	0.2	21698	10348	32046	0.6770891842975723	14691.481120888722
130	KEGG	0.0	0.2	0.3	21698	10348	32046	0.6770891842975723	14691.481120888722
131	KEGG	0.0	0.2	0.4	21698	10348	32046	0.6770891842975723	14691.481120888722
132	KEGG	0.0	0.2	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
133	KEGG	0.0	0.2	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
134	KEGG	0.0	0.2	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
135	KEGG	0.0	0.2	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
136	KEGG	0.0	0.2	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
137	KEGG	0.0	0.3	0.3	21698	10348	32046	0.6770891842975723	14691.481120888722
138	KEGG	0.0	0.3	0.4	21698	10348	32046	0.6770891842975723	14691.481120888722
139	KEGG	0.0	0.3	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
140	KEGG	0.0	0.3	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
141	KEGG	0.0	0.3	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
142	KEGG	0.0	0.3	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
