cluster_representer_or_OG	OGsize	OGhypotetical_proteins	only_hypothetical_OG
ADEAN_000006100	62	20.0	False
ADEAN_000006300	69	39.0	False
ADEAN_000006700	65	6.0	False
ADEAN_000008900	11		False
ADEAN_000011000	74	6.0	False
ADEAN_000013900	37	37.0	True
ADEAN_000014300	14		False
ADEAN_000016400	64	7.0	False
ADEAN_000021800	66	55.0	False
ADEAN_000025300	65	4.0	False
ADEAN_000026800	61	49.0	False
ADEAN_000027000	67	26.0	False
ADEAN_000027200	28	28.0	True
ADEAN_000027900	99	13.0	False
ADEAN_000030400	129	52.0	False
ADEAN_000030700	40	40.0	True
ADEAN_000031000	62	34.0	False
ADEAN_000031600	10	10.0	True
ADEAN_000032100	67	56.0	False
ADEAN_000032300	38	11.0	False
ADEAN_000044200	35	5.0	False
ADEAN_000050100	20	17.0	False
ADEAN_000050200	66	65.0	False
ADEAN_000052300	33	14.0	False
ADEAN_000052400	66	22.0	False
ADEAN_000055900	65	6.0	False
ADEAN_000056400	65	29.0	False
ADEAN_000057900	68	18.0	False
ADEAN_000061200	66	24.0	False
ADEAN_000063000	22	21.0	False
ADEAN_000064300	13	9.0	False
ADEAN_000068700	36	5.0	False
ADEAN_000070600	29	28.0	False
ADEAN_000070700	38	13.0	False
ADEAN_000070900	69	6.0	False
ADEAN_000071200	57	17.0	False
ADEAN_000072000	65	64.0	False
ADEAN_000075200	31	15.0	False
ADEAN_000076200	69	23.0	False
ADEAN_000077800	66	8.0	False
ADEAN_000082100	61	12.0	False
ADEAN_000083800	66	64.0	False
ADEAN_000085900	58	8.0	False
ADEAN_000086400	66	6.0	False
ADEAN_000086800	96	7.0	False
ADEAN_000087900	62	6.0	False
ADEAN_000088400	24	24.0	True
ADEAN_000088700	97	6.0	False
ADEAN_000091100	26	18.0	False
ADEAN_000091500	20	18.0	False
ADEAN_000092300	31	31.0	True
ADEAN_000093200	11		False
ADEAN_000093400	171	15.0	False
ADEAN_000097800	20	5.0	False
ADEAN_000097900	18	18.0	True
ADEAN_000115300	73	13.0	False
ADEAN_000116800	28	5.0	False
ADEAN_000126200	14	5.0	False
ADEAN_000128400	11	11.0	True
ADEAN_000131500	59	59.0	True
ADEAN_000132300	38	13.0	False
ADEAN_000134100	33	10.0	False
ADEAN_000137300	58	58.0	True
ADEAN_000139400	26	26.0	True
ADEAN_000140800	49	6.0	False
ADEAN_000145500	92	16.0	False
ADEAN_000149900	66	3.0	False
ADEAN_000150500	81	81.0	True
ADEAN_000152200	18	18.0	True
ADEAN_000152800	67	6.0	False
ADEAN_000153300	66	6.0	False
ADEAN_000153500	66	7.0	False
ADEAN_000154300	64	8.0	False
ADEAN_000154400	60	18.0	False
ADEAN_000154600	63	44.0	False
ADEAN_000154700	66	7.0	False
ADEAN_000158200	30	30.0	True
ADEAN_000159500	36	36.0	True
ADEAN_000162300	40	7.0	False
ADEAN_000163400	36	36.0	True
ADEAN_000165100	63	6.0	False
ADEAN_000165700	32	31.0	False
ADEAN_000166100	60	53.0	False
ADEAN_000170300	38	16.0	False
ADEAN_000170800	32	32.0	True
ADEAN_000171700	37	13.0	False
ADEAN_000172200	35	9.0	False
ADEAN_000174800	170	18.0	False
ADEAN_000176700	14	13.0	False
ADEAN_000178000	65	7.0	False
ADEAN_000178100	36	6.0	False
ADEAN_000180800	29	6.0	False
ADEAN_000186000	13	13.0	True
ADEAN_000187100	68	55.0	False
ADEAN_000187500	67	24.0	False
ADEAN_000188700	64	18.0	False
ADEAN_000191300	37	37.0	True
ADEAN_000194400	69	6.0	False
ADEAN_000195700	40	12.0	False
ADEAN_000196800	26		False
ADEAN_000198200	62	8.0	False
ADEAN_000199500	70	69.0	False
ADEAN_000200600	57	6.0	False
ADEAN_000203400	35	7.0	False
ADEAN_000205200	59	14.0	False
ADEAN_000209600	16	15.0	False
ADEAN_000210900	54	6.0	False
ADEAN_000211000	64	63.0	False
ADEAN_000212100	64	53.0	False
ADEAN_000212300	63	62.0	False
ADEAN_000213000	63	62.0	False
ADEAN_000218300	41	3.0	False
ADEAN_000220500	60	20.0	False
ADEAN_000222900	63	31.0	False
ADEAN_000223200	61	56.0	False
ADEAN_000223300	63	27.0	False
ADEAN_000225800	53	14.0	False
ADEAN_000228700	25	14.0	False
ADEAN_000234400	36	35.0	False
ADEAN_000234700	63	50.0	False
ADEAN_000235000	64	9.0	False
ADEAN_000237700	35	35.0	True
ADEAN_000242200	48	48.0	True
ADEAN_000242400	60	6.0	False
ADEAN_000244400	31	11.0	False
ADEAN_000245000	36	6.0	False
ADEAN_000246100	64	64.0	True
ADEAN_000247500	35	35.0	True
ADEAN_000247700	28	17.0	False
ADEAN_000248400	14	6.0	False
ADEAN_000250200	65	45.0	False
ADEAN_000258400	51	50.0	False
ADEAN_000258800	37	37.0	True
ADEAN_000262200	66	7.0	False
ADEAN_000265200	66	43.0	False
ADEAN_000265700	67	5.0	False
ADEAN_000268500	50	6.0	False
ADEAN_000268700	52	52.0	True
ADEAN_000271000	31	4.0	False
ADEAN_000271500	64	6.0	False
ADEAN_000272100	24	18.0	False
ADEAN_000272300	62	26.0	False
ADEAN_000273200	66	30.0	False
ADEAN_000277300	63	7.0	False
ADEAN_000277700	34	11.0	False
ADEAN_000280500	16	12.0	False
ADEAN_000280800	62	62.0	True
ADEAN_000282300	60	54.0	False
ADEAN_000282700	67	7.0	False
ADEAN_000288300	69	6.0	False
ADEAN_000293800	65	24.0	False
ADEAN_000296000	36	6.0	False
ADEAN_000298000	29	29.0	True
ADEAN_000298200	41	14.0	False
ADEAN_000301200	27		False
ADEAN_000308600	62	58.0	False
ADEAN_000311700	66	50.0	False
ADEAN_000311900	27	26.0	False
ADEAN_000312700	10	4.0	False
ADEAN_000314800	36	8.0	False
ADEAN_000315300	132	6.0	False
ADEAN_000317100	32	32.0	True
ADEAN_000319100	32	10.0	False
ADEAN_000320100	15	15.0	True
ADEAN_000324600	18		False
ADEAN_000331100	60	17.0	False
ADEAN_000333300	66	14.0	False
ADEAN_000334900	55	21.0	False
ADEAN_000338000	35	11.0	False
ADEAN_000338300	59	20.0	False
ADEAN_000340200	36	36.0	True
ADEAN_000341600	63	45.0	False
ADEAN_000341700	66	55.0	False
ADEAN_000342000	60	8.0	False
ADEAN_000342300	48	13.0	False
ADEAN_000342400	63	49.0	False
ADEAN_000344500	62	55.0	False
ADEAN_000349400	59	59.0	True
ADEAN_000349900	66	17.0	False
ADEAN_000350000	62	28.0	False
ADEAN_000351300	27	27.0	True
ADEAN_000353400	16	16.0	True
ADEAN_000353900	38	6.0	False
ADEAN_000354300	67	19.0	False
ADEAN_000354500	61	51.0	False
ADEAN_000355800	18	18.0	True
ADEAN_000363400	63	61.0	False
ADEAN_000368100	65	9.0	False
ADEAN_000371200	65	63.0	False
ADEAN_000376800	37	12.0	False
ADEAN_000377200	12	11.0	False
ADEAN_000377400	36	12.0	False
ADEAN_000377800	28		False
ADEAN_000380200	63	26.0	False
ADEAN_000382100	29	16.0	False
ADEAN_000382300	34	34.0	True
ADEAN_000383800	49	16.0	False
ADEAN_000384900	67	31.0	False
ADEAN_000385300	29	28.0	False
ADEAN_000385600	68	68.0	True
ADEAN_000385800	132	48.0	False
ADEAN_000386100	35	16.0	False
ADEAN_000388900	35	33.0	False
ADEAN_000389400	61	19.0	False
ADEAN_000390700	120	12.0	False
ADEAN_000390800	37	11.0	False
ADEAN_000391100	66	6.0	False
ADEAN_000391400	55	6.0	False
ADEAN_000391600	33	32.0	False
ADEAN_000391900	69	26.0	False
ADEAN_000392200	48	11.0	False
ADEAN_000392300	11	11.0	True
ADEAN_000393000	18	18.0	True
ADEAN_000396100	31	30.0	False
ADEAN_000396600	62	61.0	False
ADEAN_000396900	38	36.0	False
ADEAN_000398400	38	11.0	False
ADEAN_000399700	65	44.0	False
ADEAN_000401700	66	14.0	False
ADEAN_000402200	14	3.0	False
ADEAN_000403600	50	50.0	True
ADEAN_000404900	63	23.0	False
ADEAN_000407400	65	26.0	False
ADEAN_000409600	26	13.0	False
ADEAN_000410100	61	20.0	False
ADEAN_000410400	14	1.0	False
ADEAN_000410700	65	20.0	False
ADEAN_000411200	62	56.0	False
ADEAN_000412100	63	62.0	False
ADEAN_000412200	29	29.0	True
ADEAN_000412500	98	18.0	False
ADEAN_000414400	58	12.0	False
ADEAN_000414800	22	1.0	False
ADEAN_000415600	68	60.0	False
ADEAN_000415900	52	6.0	False
ADEAN_000418000	28	19.0	False
ADEAN_000418400	64	6.0	False
ADEAN_000418600	28	27.0	False
ADEAN_000419200	71	6.0	False
ADEAN_000420900	55	17.0	False
ADEAN_000422900	42	11.0	False
ADEAN_000424600	56	11.0	False
ADEAN_000425500	37	6.0	False
ADEAN_000425900	65	10.0	False
ADEAN_000427300	65	6.0	False
ADEAN_000428200	63	5.0	False
ADEAN_000430600	68	19.0	False
ADEAN_000432400	37	12.0	False
ADEAN_000433500	63	18.0	False
ADEAN_000438500	35	6.0	False
ADEAN_000442400	96	7.0	False
ADEAN_000443300	24	24.0	True
ADEAN_000443800	57	18.0	False
ADEAN_000449400	69	63.0	False
ADEAN_000451000	63	35.0	False
ADEAN_000451600	51	16.0	False
ADEAN_000456600	33	11.0	False
ADEAN_000457000	67	21.0	False
ADEAN_000457600	63	21.0	False
ADEAN_000459000	21	8.0	False
ADEAN_000460800	36	34.0	False
ADEAN_000461000	65	49.0	False
ADEAN_000461300	57	30.0	False
ADEAN_000461900	59	13.0	False
ADEAN_000463600	54	15.0	False
ADEAN_000464900	63	9.0	False
ADEAN_000466200	60	54.0	False
ADEAN_000466300	17	17.0	True
ADEAN_000466800	61	7.0	False
ADEAN_000469400	24	8.0	False
ADEAN_000475100	37	37.0	True
ADEAN_000475200	36	11.0	False
ADEAN_000479800	68	50.0	False
ADEAN_000480000	62	6.0	False
ADEAN_000482100	67	62.0	False
ADEAN_000484700	64	48.0	False
ADEAN_000486100	63	18.0	False
ADEAN_000486300	13	6.0	False
