Ortholog_Group	Gene ID	uniprot	pLDDT_mean
DQ04_00151050	LdCL_350035500	A0A504XBM6	99.0
Tc_MARK_3549	TcCL_NonESM02890	Q26970	99.0
BCY84_05030	LmxM.24.2060	E9AX52	99.0
TM35_000012830	TvY486_0302300	Q9GPQ4	99.0
LMARLEM2494_330033600	LdCL_110011800	A0A6J8F609	98.0
Baya_008_1140	TvY486_1104790	G0UB08	98.0
TcSYL_0116560	TcCLB.510663.70	Q4D0X5	98.0
TcIL3000_0_40510	TcIL3000_0_40510	F9W7W0	98.0
ADEAN_000174800	TRSC58_05616	A0A061J0A6	98.0
Tc_MARK_7014	LpyrH10_09_2770	A0A0M9G1D2	98.0
C4B63_31g56	TRSC58_03226	A0A061J4Q1	98.0
TcCLB.509553.30	LmjF.12.0060	Q4QGT7	98.0
LTULEM423_040010600	Tc_MARK_7312	A0A2V2WUU5	98.0
DQ04_01461080	TcCL_ESM12380	A0A0F6VXC9	98.0
JKF63_06146	LMJLV39_150017700	Q4QF68	98.0
LSM04_000088	TcCLB.511643.20	A0A2V2XK30	98.0
LmxM.32.0240	LMJFC_330007900	Q70GE8	98.0
LMJSD75_360031200	TRSC58_06554	A0A061ITA9	98.0
LSM04_009482	BCY84_19402	A0A2V2UJL7	98.0
GH5_02635	BCY84_00889	A0A2V2WJQ2	98.0
DQ04_02811070	ECC02_007468	A0A2V2WJ99	98.0
PCON_0072320	TCSYLVIO_005740	Q2TJB4	98.0
TCSYLVIO_001775	LMJSD75_360046000	Q4Q159	98.0
PCON_0083510	Lsey_0054_0090	A0A0N1I0P5	98.0
PCON_0016220	Tc_MARK_1849	A0A2V2USK0	98.0
Lsey_0094_0210	BCY84_19815	A0A2V2V713	98.0
BCY84_02191	TcCLB.509875.200	Q4E0C3	98.0
JKF63_02201	LTRL590_330025200	A0A0R6Y400	98.0
Baya_006_0550	TcIL3000.A.H_000914300	P04789	98.0
LPAL13_340053900	BSAL_66180	A1YE37	98.0
TvY486_0806260	TcCLB.507951.150	Q4DUS4	98.0
ADEAN_000889600	LbrM.26.2660	A0A3P3Z9R0	98.0
TvY486_0704570	LINF_140007400	A4HVW6	98.0
CFAC1_110022700	ADEAN_000687000	S9UQY9	98.0
LSM04_005936	TM35_000242260	A0A1X0NQT1	98.0
EMOLV88_090013700	LMJFC_090014500	Q4QHU7	98.0
TRSC58_02775	TvY486_0301370	G0TSM0	98.0
TcSYL_0167740	ECC02_013554	A0A7J6XHH3	98.0
LMJSD75_110013500	LmxM.11.0620	E9ANK7	98.0
TcBrA4_0125870	LdCL_340051600	A0A3Q8INX1	98.0
C3747_68g44	LtaPh_3231501	A0A640KVU9	98.0
TcCLB.506489.59	ADEAN_000022400	S9WT37	98.0
LmjF.32.1830	BCY84_18309	A0A2V2WPQ7	98.0
Tc_MARK_6487	LDHU3_34.1450	A0A504XPH7	98.0
ADEAN_000410400	ADEAN_000410400	A0A7G2CEN6	98.0
Baya_014_0140	LdCL_180021000	Q2PD99	98.0
BSAL_68975	LmjF.28.0110	Q4Q8Q9	98.0
ADEAN_000415900	Tb427tmp.211.3180	P31072	98.0
ADEAN_000198200	Tb927.10.7190	Q38AP4	98.0
TvY486_1005570	TcCLB.510299.10	Q4CZK7	98.0
TRSC58_00628	LdCL_230027000	A0A3S7WY56	97.0
PCON_0066160	TM35_000132830	A0A1X0NYI6	97.0
Baya_063_0050	LDHU3_33.3790	A0A504Y3C8	97.0
Baya_009_0540	C4B63_30g231	H9AZH4	97.0
LtaP30.3550	LINF_300041000	O43938	97.0
TcIL3000.A.H_000909900	TcIL3000_10_2990	G0UVX2	97.0
TvY486_0303770	LmxM.24.0320	E9AWM1	97.0
Baya_288_0020	LtaPh_1607300	A0A640KCY1	97.0
BSAL_27345	LINF_360050900	A4IE56	97.0
LSM04_002678	TcYC6_0066550	A0A2V2VAZ4	97.0
LtaP13.1540	TM35_000191470	A0A1X0NTV2	97.0
Lsey_0920_0010	LmxM.31.3130	E9B396	97.0
TM35_000211040	TRSC58_06522	A0A061IUQ1	97.0
BSAL_33455	Tbg972.8.6750	C9ZWE3	97.0
TcIL3000_0_43010	Tb927.7.2760	Q57Y86	97.0
LTRL590_280021400	LpyrH10_02_6310	A0A0N0DZI2	97.0
DQ04_10011020	Tbg972.9.560	C9ZX42	97.0
TcCLB.510187.480	TcCLB.510187.480	A0A2V2UYV6	97.0
LENLEM3045_290016800	TcCLB.506485.80	Q4DAS0	97.0
JIQ42_01364	LINF_190012000	A4HY91	97.0
TvY486_1004990	BCY84_16150	A0A2V2WMU4	97.0
TvY486_0904260	Tb927.9.9780	Q38E20	97.0
Baya_068_0220	Tb927.3.4650	Q582S0	97.0
ADEAN_000093400	LdBPK_312980.1	A0A504WXC3	97.0
TCDM_02647	TM35_000241490	A0A1X0NS37	97.0
ECC02_003761	Tb927.11.14280	Q382A9	97.0
CFAC1_290074400	LmjF.34.4450	Q4Q290	97.0
Baya_052_0410	TcCLB.508699.120	Q4DE42	97.0
TCDM_14202	ADEAN_000618700	S9WRE0	97.0
Baya_002_0580	TcG_00393	A0A2V2WYS8	97.0
TvY486_0801610	TcYC6_0031740	A0A2V2UKJ7	97.0
BSAL_12440	ADEAN_000275300	A0A7G2C661	97.0
C3747_29g138	TcCLB.511003.60	Q4DNU4	97.0
BSAL_68770	C3747_21g349	A0A2V2X7L2	97.0
Tb927.4.1380	LDHU3_34.5310	A0A504WWJ7	97.0
Baya_009_0560	TvY486_1101480	G0UA31	97.0
C4B63_8g569	ECC02_012285	A0A7J6XKV0	97.0
BSAL_30840	LINF_360008400	A4ICV5	97.0
CFAC1_010015300	LbrM.31.1330	A4HJ93	97.0
LSCM1_07253	LdBPK_055450.1	A7LIU4	97.0
