Ortholog_Group	mean	median	min	max	std	skew
ADEAN_000006100	72.98275862068965	73.0	70.0	76.0	1.5838148406571348	0.19389934037162518
ADEAN_000006300	56.970588235294116	57.0	43.0	70.0	6.900216501629873	-0.35776218589605013
ADEAN_000006700	74.54166666666667	74.0	72.0	79.0	1.2875563748588692	1.932109990160253
ADEAN_000008900	79.625	77.0	76.0	90.0	5.2898150116183515	1.5928069502694726
ADEAN_000011000	78.94444444444444	79.0	74.0	85.0	1.8980263202503451	-0.019826844603808874
ADEAN_000013900	58.523809523809526	59.0	55.0	63.0	1.8873009198071107	0.18115509315411926
ADEAN_000014300	67.14285714285714	68.0	59.0	77.0	5.984105932344764	0.35159627611701294
ADEAN_000016400	77.72727272727273	77.0	71.0	83.0	3.6689616325711882	0.018233130398860684
ADEAN_000021800	72.09375	71.0	71.0	81.0	1.849227637999949	2.750030243921642
ADEAN_000025300	92.22857142857143	93.0	83.0	94.0	1.7950933815395749	-2.7527403119103564
ADEAN_000026800	76.16071428571429	76.0	69.0	80.0	1.7967322430587092	-0.9519406802370945
ADEAN_000027000	93.15942028985508	93.0	91.0	95.0	0.5320102941782986	0.1524416395253898
ADEAN_000027200	67.0625	66.5	66.0	72.0	1.569235482647523	2.2491010094257926
ADEAN_000027900	88.17021276595744	88.5	84.0	93.0	2.8156181080870994	0.03792585590420196
ADEAN_000030400	91.55833333333334	91.0	86.0	94.0	1.327130178167888	-0.676194419960034
ADEAN_000030700	59.03846153846154	59.0	53.0	65.0	2.8632955730174863	-0.2190254309506683
ADEAN_000031000	78.58666666666667	79.0	67.0	85.0	2.365822714642224	-1.6776855758141838
ADEAN_000031600	52.833333333333336	53.5	49.0	55.0	2.4013884872437172	-0.8785861183239946
ADEAN_000032100	87.61111111111111	88.0	83.0	89.0	0.9866082967127294	-2.4005442527968692
ADEAN_000032300	84.89473684210526	86.0	79.0	88.0	2.0519567041703084	-1.6532522123345652
ADEAN_000044200	86.52631578947368	87.0	81.0	89.0	1.7754004572562567	-1.512909299708915
ADEAN_000050100	69.0	69.0	67.0	71.0	2.8284271247461903	
ADEAN_000050200	83.07142857142857	83.0	81.0	85.0	0.8734643430570767	-0.27550261569660367
ADEAN_000052300	77.25	77.0	68.0	85.0	4.788967584596474	-0.8008701870937847
ADEAN_000052400	67.47540983606558	67.0	64.0	72.0	1.4446055675864067	0.7537051360568153
ADEAN_000055900	76.47540983606558	81.0	46.0	84.0	6.6020364468777055	-1.8265928830601912
ADEAN_000056400	67.07936507936508	70.0	52.0	82.0	8.892370030068715	-0.47883133994844473
ADEAN_000057900	87.4927536231884	88.0	84.0	92.0	1.1710124880757373	0.4706518868029249
ADEAN_000061200	86.95384615384616	87.0	84.0	95.0	1.6049802299285596	2.159548159471525
ADEAN_000063000	73.78260869565217	74.0	72.0	77.0	0.9513875865917882	1.5159917113672157
ADEAN_000064300	70.28571428571429	70.0	66.0	79.0	4.498677054212187	1.2756691490086804
ADEAN_000068700	92.43478260869566	94.0	84.0	95.0	2.744019728204357	-1.3684871019519362
ADEAN_000070600	60.857142857142854	62.0	56.0	63.0	2.7945525240230884	-1.1429029912904904
ADEAN_000070700	60.31818181818182	60.0	59.0	65.0	1.2492421945347745	2.7138782831446706
ADEAN_000070900	86.35384615384615	88.0	79.0	92.0	3.559453825864515	-0.4013131936678816
ADEAN_000071200	88.96153846153847	90.0	85.0	91.0	1.5461722307424774	-1.2574453807154053
ADEAN_000072000	52.69565217391305	52.0	46.0	59.0	3.6553922611835015	-0.19703737200064747
ADEAN_000075200	88.57142857142857	89.0	79.0	91.0	1.640090079960022	-4.9742939458784265
ADEAN_000076200	82.04081632653062	82.0	74.0	84.0	2.0305908794555054	-1.4740769090176624
ADEAN_000077800	75.6842105263158	76.0	72.0	78.0	0.9122941969312327	-0.9463123381145253
ADEAN_000082100	74.7872340425532	78.0	61.0	87.0	7.956228542340042	-0.16819767920929235
ADEAN_000083800	42.50819672131148	41.0	36.0	53.0	3.3646344567162694	1.0185206822869175
ADEAN_000085900	76.90196078431373	77.0	71.0	81.0	1.4866728215822633	-0.6617019484883052
ADEAN_000086400	73.58620689655173	74.0	71.0	76.0	0.8384296674856079	-0.004618912642173505
ADEAN_000086800	92.72727272727273	93.0	83.0	94.0	1.5516196412045677	-3.1952733167004785
