Ortholog_Group	mean	median	min	max	std	skew
N/A (orthology not determined because protein is too short or has too many stop codons)						
N/A (orthology not determined for pseudogenes)	67.4	67.0	58.0	75.0	6.348228099241553	-0.5663837912801064
OG6_100000	49.44186046511628	48.0	37.0	82.0	8.122025394667755	2.1715360762351668
OG6_100001	42.375	42.0	41.0	47.0	1.4083086782851737	2.5010205062729836
OG6_100006	61.64705882352941	65.0	36.0	85.0	15.251807993114243	-0.14100295566878554
OG6_100007	38.0	38.0	38.0	38.0		
OG6_100011	62.24545454545454	63.0	32.0	94.0	13.424602490297454	0.09477847116649013
OG6_100012	80.21111111111111	90.0	28.0	96.0	17.12592402919561	-1.2565742782595686
OG6_100013	62.14102564102564	65.0	44.0	85.0	8.94822678360146	-0.08906442284267885
OG6_100014	82.55855855855856	85.0	45.0	92.0	7.461031715989032	-3.6826425562318135
OG6_100018	88.98709677419355	91.0	59.0	95.0	5.331829315929979	-2.4394563811057246
OG6_100020	57.03703703703704	53.0	36.0	81.0	10.662675455613957	0.5279408657160121
OG6_100022	72.5	80.0	45.0	86.0	14.78926036765268	-1.1712688270933884
OG6_100025	76.81543624161074	85.0	37.0	95.0	16.008595274617832	-1.0299421438258634
OG6_100026	76.64485981308411	79.0	35.0	94.0	8.182636939709184	-1.4257955433262823
OG6_100029	52.142857142857146	50.0	49.0	58.0	3.9339789623472163	0.8170236488087629
OG6_100032	48.0	48.0	48.0	48.0		
OG6_100035	66.77777777777777	79.0	45.0	85.0	15.917241779233798	-0.10159297306514475
OG6_100036	54.666666666666664	56.0	46.0	62.0	8.082903768654761	-0.7221086457211331
OG6_100037	47.0	47.0	36.0	58.0	15.556349186104045	
OG6_100040						
OG6_100045	75.13297872340425	78.0	50.0	91.0	10.361816869341467	-0.9266045423288154
OG6_100047	44.0	44.0	44.0	44.0		
OG6_100048	63.0	63.0	63.0	63.0		
OG6_100049	63.09375	64.0	44.0	77.0	6.5427760811575615	-0.8453151722027878
OG6_100052	78.84105960264901	81.0	48.0	87.0	7.681226217414153	-2.9503250672852523
OG6_100053	67.80952380952381	78.0	33.0	83.0	17.183186688210796	-0.9527542271619117
OG6_100054						
OG6_100059	81.09774436090225	83.0	31.0	92.0	8.558058989129853	-3.32630507610466
OG6_100060	61.0	61.0	61.0	61.0		
OG6_100061	55.0	47.0	47.0	71.0	13.856406460551018	1.7320508075688774
OG6_100064	77.7875	78.0	76.0	91.0	1.7334661990621967	5.854961842354884
OG6_100067	51.5	51.5	50.0	53.0	2.1213203435596424	
OG6_100069						
OG6_100072	95.49662162162163	97.0	71.0	98.0	3.064281164701517	-2.652707865339093
OG6_100073	42.5	41.5	41.0	46.0	2.3804761428476158	1.779179400882648
OG6_100076	79.675	83.0	57.0	90.0	8.030903255432797	-1.402672414961591
OG6_100077	84.376026272578	85.0	48.0	94.0	4.436112641460957	-3.9660807937009994
OG6_100079						
OG6_100080	36.0	36.0	36.0	36.0		
OG6_100081	55.30769230769231	58.5	39.0	73.0	11.195603532705972	-0.3679449839907255
OG6_100082	83.42942942942943	85.0	51.0	96.0	5.511650199938372	-1.9032428192127129
OG6_100083	86.82084095063985	88.0	53.0	97.0	5.479470529106462	-2.535808834121295
OG6_100084	59.31481481481482	58.0	38.0	81.0	9.11722976220968	-0.12989486171279718
OG6_100085	75.34545454545454	71.0	46.0	90.0	9.030803291820392	-0.36301511444257467
OG6_100086	72.33333333333333	67.0	64.0	86.0	11.930353445448855	1.6096544968603046
OG6_100089	84.19672131147541	85.0	51.0	93.0	6.8690699074012365	-3.0503120157408854
OG6_100090	48.42857142857143	48.0	47.0	57.0	2.630709965130122	2.4921426280028607
